Transaction_ID,Amount,Transaction_Type,Location,Time_of_Day,Account_Age_Months,Is_International,Fraud
84,322.47395967868806,POS,USA,Evening,130,0,0
85,1558.3566969697326,Bank Transfer,Canada,Morning,207,0,0
86,1629.2906935236015,Online,Germany,Afternoon,149,0,0
87,3649.38286079863,ATM,India,Afternoon,216,1,0
88,3189.5995694192898,ATM,USA,Evening,50,0,0
89,4436.627649168751,ATM,Germany,Evening,209,0,0
90,2363.713551183937,Online,UK,Morning,111,1,0
91,602.373258461817,ATM,India,Night,180,1,0
92,3567.65771217886,Bank Transfer,Germany,Evening,137,1,0
93,3805.1213178414027,Online,Germany,Evening,99,0,0
94,2808.579601859634,POS,USA,Night,148,0,0
95,3855.9810638730323,Bank Transfer,UK,Evening,211,0,0
96,2471.5090038401318,POS,Germany,Afternoon,146,0,0
97,2616.0504827630602,ATM,India,Evening,84,1,1
98,2140.5673867009555,Bank Transfer,Germany,Afternoon,30,0,0
99,131.96853808675547,Online,Canada,Morning,232,1,0
100,543.9176778315557,Bank Transfer,India,Morning,65,0,0
101,161.9887825052376,POS,India,Afternoon,24,0,0
102,3183.8700042625833,Online,Germany,Afternoon,216,0,0
103,1575.2081254762518,Bank Transfer,USA,Night,175,1,0
104,2545.3106023676905,Bank Transfer,India,Afternoon,211,1,0
105,4538.294537260835,Bank Transfer,Canada,Afternoon,222,1,0
106,1250.2146845986304,Bank Transfer,USA,Evening,90,1,0
107,2054.8627005629705,Online,USA,Night,106,0,0
108,3778.9779370225283,POS,USA,Afternoon,172,0,0
109,1147.8468366306543,Bank Transfer,India,Afternoon,230,0,0
110,389.514649594821,Online,USA,Afternoon,157,0,0
111,1452.3085073042712,POS,Germany,Evening,77,0,0
112,810.3003298337521,Bank Transfer,USA,Evening,68,1,0
113,4648.839773451153,POS,Canada,Evening,109,1,1
114,4041.5612959242626,POS,UK,Morning,145,0,0
115,3168.8517637695654,Online,Canada,Evening,97,0,0
116,4357.94564798765,POS,India,Afternoon,133,0,0
117,4019.3420241110766,Online,USA,Evening,92,0,0
118,936.9174441357491,Bank Transfer,USA,Evening,88,1,0
119,4463.332197457439,POS,Germany,Night,209,0,1
120,2699.0144983686755,POS,USA,Afternoon,50,0,0
121,4038.1635750444925,ATM,Canada,Evening,103,0,0
122,4480.976043117848,Bank Transfer,India,Morning,112,0,0
123,1593.4273574844601,Bank Transfer,UK,Night,168,1,0
124,554.7093630157455,ATM,USA,Evening,236,0,0
125,1143.5361368969986,ATM,UK,Night,46,1,0
126,2138.4034041881505,Online,USA,Night,179,1,0
127,4090.983755782853,Online,India,Morning,11,0,0
128,4304.349263365435,POS,Canada,Morning,12,0,0
129,39.72589200329757,POS,India,Morning,141,0,0
130,2556.1827763749407,POS,UK,Afternoon,64,0,0
131,2089.967960728151,POS,USA,Night,8,0,0
132,1114.4285133012977,Online,UK,Evening,193,1,0
133,603.7275098317456,Bank Transfer,Canada,Morning,9,1,0
134,1691.3877811611217,POS,India,Morning,220,1,0
135,4714.833971043033,Bank Transfer,UK,Night,130,1,0
136,1619.3986454436724,POS,UK,Night,78,1,0
137,2596.3591556081137,ATM,Canada,Night,141,0,0
138,3516.5796996814133,POS,USA,Evening,2,0,0
139,1821.3298638845733,POS,UK,Afternoon,196,1,0
140,4859.051503191198,POS,Canada,Afternoon,204,0,0
141,4812.424238235845,Online,USA,Morning,176,0,0
142,1262.652567647694,ATM,USA,Afternoon,74,1,0
143,2488.756286932465,POS,India,Evening,131,1,0
144,1507.8871575347644,POS,Canada,Afternoon,196,1,0
145,1427.7782694154507,Bank Transfer,USA,Evening,134,0,0
146,189.2503020358913,ATM,India,Morning,87,1,0
147,3049.773848229585,POS,Germany,Night,5,1,0
148,2515.881721028163,Bank Transfer,Canada,Evening,131,0,0
149,262.1363624936968,Bank Transfer,Germany,Night,138,0,0
150,1396.8390888618742,Online,USA,Morning,171,1,1
151,4541.788100403435,Bank Transfer,Canada,Evening,147,0,0
152,1201.6116438815272,POS,India,Evening,14,1,0
153,728.7498860956593,Online,USA,Afternoon,149,0,0
154,2449.8165375864273,Online,Canada,Evening,124,1,0
155,4928.32401828245,POS,Canada,Morning,43,0,0
156,1214.0660811999446,ATM,Germany,Night,28,0,0
157,3362.3170592923634,Bank Transfer,USA,Evening,149,0,0
158,3809.2899785669442,Online,India,Morning,164,1,0
159,1191.9995322420364,ATM,India,Morning,24,1,0
160,3642.4406613162387,POS,USA,Evening,182,1,0
161,1842.0767479326698,Bank Transfer,USA,Afternoon,166,0,0
162,3163.3676238149296,Bank Transfer,UK,Evening,17,0,0
163,3169.480905250669,Online,Germany,Evening,150,0,0
164,2681.1945469534185,Bank Transfer,USA,Afternoon,83,1,0
165,455.9974014217695,Bank Transfer,USA,Morning,45,0,0
166,4177.335965468244,Bank Transfer,UK,Evening,74,1,0
167,1607.2964245338205,Bank Transfer,UK,Afternoon,189,1,0
168,936.6599594472718,POS,Canada,Night,139,1,0
169,208.67183206604577,ATM,India,Night,61,1,0
170,2956.510251225268,POS,Germany,Afternoon,38,1,0
171,3389.4339874022007,POS,Canada,Morning,66,0,0
172,87.85620549464147,Online,USA,Afternoon,33,0,0
173,2562.9048262049087,Bank Transfer,UK,Morning,43,0,0
174,1136.3463971137,POS,India,Night,159,0,0
175,3227.638088095202,Bank Transfer,Canada,Evening,112,0,0
176,875.9603128799323,POS,India,Afternoon,35,0,0
177,3456.2340018218174,POS,UK,Night,37,1,0
178,1936.7430547711845,Online,Canada,Evening,175,0,0
179,4683.966293739989,ATM,Canada,Night,239,1,0
180,691.9171160092363,ATM,India,Afternoon,100,1,0
181,1708.6264234960413,POS,UK,Afternoon,23,1,0
182,571.8002385967424,Online,USA,Evening,164,1,0
183,4623.844623301421,Bank Transfer,Canada,Afternoon,168,1,0
184,4387.310070138,Bank Transfer,USA,Night,231,0,0
185,1293.4184304372022,POS,UK,Evening,218,0,0
186,3301.6203099407244,ATM,Canada,Evening,89,0,0
187,4087.0248900050733,Online,Canada,Night,209,1,0
188,2778.228053939314,ATM,USA,Morning,15,0,0
189,2650.6046388882523,Bank Transfer,Germany,Evening,165,0,0
190,1213.0521930477562,ATM,USA,Morning,237,1,0
191,470.0483251904666,Bank Transfer,USA,Night,132,1,0
192,4486.592710976867,Online,Germany,Night,150,0,1
193,4502.588195530836,Online,UK,Evening,209,1,0
194,3167.3417790799735,POS,UK,Afternoon,22,1,0
195,1698.4538062882598,POS,Canada,Evening,209,1,0
196,1749.301825190241,ATM,India,Afternoon,206,0,0
197,3631.148615956846,Online,India,Morning,78,1,0
198,4486.065748463123,Online,Canada,Afternoon,145,1,0
199,4435.996689204261,POS,India,Evening,72,1,0
200,3900.478351558831,Bank Transfer,USA,Afternoon,98,1,0
201,3211.9480725406675,ATM,USA,Night,90,1,0
202,425.2791251502689,ATM,Germany,Morning,109,0,0
203,812.3354269025958,POS,Germany,Night,94,0,0
204,4493.278171692761,Online,Canada,Night,214,1,0
205,3034.113152999652,POS,Canada,Night,80,1,0
206,50.93927282506509,POS,Canada,Night,94,0,0
207,511.8503566158304,POS,USA,Afternoon,80,0,0
208,3319.1913366947388,POS,India,Night,38,1,0
209,30.28261131186234,Bank Transfer,Canada,Afternoon,152,1,0
210,808.2362168304057,Bank Transfer,Canada,Night,228,0,0
211,2745.925277886098,Online,USA,Evening,227,1,0
212,3461.016512475003,POS,USA,Night,134,1,0
213,3261.54649121549,Bank Transfer,USA,Evening,196,0,0
214,1125.2252007554962,Online,India,Afternoon,210,0,0
215,3562.3352106309417,POS,Canada,Morning,134,0,0
216,1190.0591920465163,ATM,UK,Afternoon,26,0,0
217,1630.3714923055422,Bank Transfer,UK,Morning,101,1,0
218,3733.7245685645307,Online,Canada,Morning,219,1,0
219,3249.916330740837,ATM,Canada,Night,169,1,0
220,4246.870935418418,POS,Canada,Morning,75,1,0
221,3289.776397040215,POS,Canada,Afternoon,38,0,0
222,2843.7014736606807,POS,India,Night,208,0,0
223,472.9054653013219,Bank Transfer,UK,Morning,83,1,0
224,1841.7404362818704,Online,Germany,Afternoon,171,1,0
225,1329.6858265702185,ATM,UK,Morning,181,1,1
226,1223.7282686785225,Online,UK,Morning,143,0,0
227,4865.187720988466,Bank Transfer,USA,Night,218,0,0
228,1968.5231347104682,Online,Canada,Night,56,0,0
229,4460.772543109681,Bank Transfer,Canada,Afternoon,105,1,0
230,3157.537436856328,POS,Canada,Night,184,1,0
231,3975.0824611905336,ATM,USA,Night,31,1,0
232,2515.672280060435,POS,India,Evening,211,0,0
233,2886.634903708664,Online,India,Evening,185,1,0
234,2465.1258806252254,POS,Germany,Afternoon,179,0,0
235,980.2387240512322,ATM,India,Night,152,1,0
236,3613.648315731219,POS,India,Afternoon,58,1,0
237,1407.4579503920747,ATM,Canada,Evening,73,0,1
238,126.45825232511193,ATM,UK,Evening,215,0,0
239,3229.134118056303,POS,India,Evening,132,1,0
240,889.6678436382094,Bank Transfer,India,Afternoon,10,0,0
241,4702.590628842807,Online,USA,Night,191,0,0
242,4769.873242127924,Bank Transfer,Germany,Morning,73,0,0
243,4574.74762915114,Bank Transfer,USA,Night,211,0,0
244,1853.9427077759447,POS,Canada,Afternoon,15,0,0
245,82.2057995616928,Online,UK,Evening,98,1,0
246,4641.951220125688,Online,Germany,Morning,234,1,0
247,2143.779820844985,Bank Transfer,USA,Afternoon,63,1,0
248,4833.440821123129,POS,India,Evening,19,1,0
249,4818.281785560818,Online,India,Afternoon,113,0,0
250,4265.7822300594635,Bank Transfer,Germany,Morning,63,1,0
251,1475.7722158875806,Online,India,Evening,116,0,0
252,1928.5631543666166,POS,USA,Night,184,1,0
253,4256.4276742267,POS,USA,Afternoon,21,1,0
254,1588.025415755607,POS,India,Morning,162,0,0
255,851.616269697032,Online,India,Night,145,1,0
256,2786.222305979459,ATM,Canada,Morning,146,1,0
257,4681.093096933101,Online,UK,Afternoon,81,1,0
258,3481.6688343914902,ATM,Germany,Morning,66,1,0
259,2852.455544596378,POS,USA,Evening,179,1,0
260,490.39658638498884,Bank Transfer,Germany,Morning,65,1,0
261,3076.961097362353,ATM,Canada,Afternoon,43,1,0
262,4950.318981270795,POS,USA,Evening,57,0,0
263,704.7196561064375,POS,Canada,Morning,138,1,1
264,2594.056613556865,ATM,Canada,Morning,37,1,0
265,4387.478494280137,Bank Transfer,India,Evening,176,1,0
266,3705.1392456822514,POS,Germany,Night,120,1,0
267,3486.5936262713635,ATM,Germany,Night,69,1,0
268,3513.9079995156108,Bank Transfer,India,Evening,56,1,0
269,1800.658300342677,Bank Transfer,Germany,Morning,119,0,0
270,1471.4912621011445,POS,India,Night,204,1,0
271,4047.7589716151756,Online,USA,Evening,164,1,0
272,4051.5164064225078,Online,Canada,Afternoon,159,0,0
273,4336.026231307618,POS,Canada,Morning,55,0,0
274,4566.636560019574,Bank Transfer,Germany,Afternoon,38,1,0
275,2559.1552823103843,POS,UK,Morning,201,1,0
276,2510.073891962562,ATM,Canada,Night,236,1,0
277,3992.484418939042,Online,India,Afternoon,218,0,1
278,3251.569834234937,ATM,UK,Afternoon,15,0,0
279,3511.324551902228,POS,UK,Evening,144,1,0
280,3979.984383833325,POS,Canada,Night,77,1,0
281,4450.5766823787435,Bank Transfer,Canada,Night,217,0,0
282,1693.2858084734214,Bank Transfer,Canada,Morning,222,0,0
283,1881.0368484365204,Bank Transfer,India,Evening,53,0,0
284,474.43978950514065,ATM,UK,Evening,184,0,1
285,2893.509304275889,Bank Transfer,Germany,Morning,7,1,0
286,184.53165761472673,POS,India,Afternoon,185,0,0
287,2330.6621005716383,Bank Transfer,USA,Morning,55,0,0
288,2715.509950364345,Online,Canada,Morning,52,1,0
289,1436.2735543807805,Bank Transfer,UK,Morning,4,0,1
290,2956.2121365422086,ATM,India,Evening,43,1,0
291,157.3487484455519,Online,USA,Morning,40,0,0
292,191.55420280232602,Online,India,Morning,230,1,0
293,4113.889800494993,Online,India,Morning,121,0,0
294,1804.1522538492582,ATM,Germany,Night,30,1,0
295,639.6672606961645,POS,Germany,Afternoon,138,1,0
296,2613.6050839737477,Bank Transfer,India,Afternoon,222,0,0
297,3851.117797727561,Online,USA,Afternoon,103,1,0
298,1083.0260323467317,Online,UK,Afternoon,7,1,0
299,3116.337926715906,Online,UK,Evening,164,0,0
300,431.31058764387114,POS,Canada,Evening,163,1,0
301,263.15019723719547,POS,Canada,Morning,216,1,0
302,2659.116384682899,ATM,UK,Evening,167,0,0
303,2705.472432442482,POS,India,Afternoon,164,0,0
304,3188.9623579835416,Bank Transfer,India,Night,109,1,0
305,3631.8262119446945,ATM,Germany,Morning,20,1,0
306,4879.38113691536,ATM,Germany,Morning,49,1,1
307,2583.9202397644704,Bank Transfer,Canada,Afternoon,96,1,0
308,1618.1675823415235,Bank Transfer,UK,Afternoon,59,1,0
309,3976.955042869675,Bank Transfer,India,Afternoon,231,0,0
310,1357.8070950540607,ATM,UK,Evening,177,1,0
311,2197.6622464246525,ATM,USA,Morning,90,0,0
312,396.88962480461845,ATM,UK,Afternoon,26,0,0
313,131.62696336021025,Bank Transfer,USA,Night,36,0,0
314,4813.428831316236,Bank Transfer,Germany,Morning,171,0,0
315,4180.720701958468,Online,Germany,Morning,126,1,0
316,3481.3911594380215,POS,Canada,Evening,227,1,0
317,2047.719957349278,Online,UK,Morning,43,1,0
318,870.6051287538746,Bank Transfer,UK,Afternoon,99,0,0
319,786.4030281420748,ATM,USA,Afternoon,204,0,0
320,1254.9632763321536,Bank Transfer,Germany,Night,33,1,0
321,2748.387190207072,POS,USA,Morning,100,0,0
322,3574.4066338868115,Online,Germany,Morning,206,1,0
323,3302.6858967050675,Online,USA,Evening,97,0,0
324,1403.2698152449846,ATM,Germany,Afternoon,238,0,0
325,4774.552076912654,Online,USA,Night,173,0,0
326,3690.795098895364,Online,Germany,Afternoon,45,0,0
327,2773.9984922944464,Bank Transfer,USA,Morning,88,0,0
328,3060.5451274405896,Online,UK,Morning,143,0,0
329,2100.9023118268105,Online,Canada,Night,95,0,0
330,1242.4162925582816,Online,USA,Morning,17,1,0
331,1783.0835298630516,ATM,Canada,Night,140,1,0
332,3790.4413217695237,ATM,UK,Night,22,0,0
333,76.89547570563056,Bank Transfer,UK,Afternoon,151,0,0
334,584.7828393320466,Online,Germany,Night,90,1,0
335,234.78319689865498,ATM,Canada,Morning,78,0,0
336,208.44036758325583,ATM,India,Evening,140,1,1
337,4278.025617134981,Bank Transfer,Germany,Evening,114,1,0
338,3519.771007603218,POS,Canada,Morning,68,1,0
339,2373.4982762911895,Online,USA,Evening,110,1,1
340,493.68163245175236,ATM,USA,Evening,179,1,0
341,2460.6212962085774,Bank Transfer,UK,Night,125,0,0
342,2369.9914950489256,Bank Transfer,India,Evening,141,0,0
343,870.1433402005258,Bank Transfer,USA,Evening,57,1,0
344,2172.0889879436754,ATM,Canada,Evening,55,0,0
345,1995.5311483148803,Online,Canada,Afternoon,82,1,0
346,3081.171239770821,POS,USA,Morning,107,0,0
347,3177.292786083881,Online,Canada,Night,156,0,0
348,231.29352881136236,Bank Transfer,Canada,Evening,102,0,0
349,1876.1900100592238,Bank Transfer,UK,Morning,233,0,0
350,3131.1702789926107,POS,India,Evening,172,0,0
351,2518.1656116075383,Online,UK,Afternoon,147,0,0
352,4283.16675673567,Bank Transfer,India,Afternoon,174,0,0
353,3295.1746899366303,Bank Transfer,Canada,Evening,111,0,0
354,818.8574632717413,Online,India,Evening,107,1,0
355,357.49089326514706,Bank Transfer,Canada,Evening,102,1,0
356,3213.8842946405466,Online,Canada,Afternoon,238,0,0
357,137.42399615540094,Bank Transfer,UK,Afternoon,3,0,0
358,2930.949028460949,Online,UK,Morning,211,0,0
359,4701.450055917663,POS,Germany,Night,148,1,0
360,2879.4935184900155,Bank Transfer,USA,Night,25,0,0
361,1943.908781401577,POS,Germany,Afternoon,75,0,0
362,3218.224651119554,Bank Transfer,Germany,Night,184,1,0
363,2293.9731880051254,Bank Transfer,India,Evening,209,1,0
364,2730.355862633095,ATM,Canada,Morning,61,1,1
365,4707.616719838743,Online,Canada,Afternoon,123,0,1
366,1933.5826758148673,POS,Canada,Afternoon,55,1,0
367,4806.146866300452,POS,USA,Night,163,0,0
368,4527.226456570538,POS,India,Evening,206,1,0
369,982.9767182725357,Online,India,Morning,187,0,0
370,351.45969787145145,ATM,Canada,Night,39,0,0
371,508.3861168802461,POS,Germany,Afternoon,185,0,0
372,96.0180191294909,Online,USA,Afternoon,83,1,0
373,476.74258897586236,Bank Transfer,Germany,Night,195,0,0
374,3416.6188332147026,POS,UK,Evening,34,0,0
375,360.58729905884377,POS,India,Morning,113,0,1
376,1598.2832733173377,ATM,India,Morning,169,1,0
377,4225.152178292426,POS,Germany,Morning,150,0,0
378,121.2433190004502,POS,USA,Morning,230,0,0
379,4073.2700705317343,Bank Transfer,India,Evening,27,0,0
380,1412.8645999931327,Online,Germany,Afternoon,149,0,0
381,595.233313970173,Online,USA,Afternoon,169,1,0
382,3485.2021409939325,ATM,Germany,Morning,31,0,0
383,3146.5695196655206,Bank Transfer,USA,Morning,155,1,0
384,4387.972707567629,Online,Canada,Morning,165,1,0
385,3676.6798638004093,Bank Transfer,USA,Night,194,0,0
386,4018.3872472723187,Online,UK,Night,182,1,0
387,1413.7626899936758,Bank Transfer,Canada,Afternoon,239,1,0
388,891.3105211797155,ATM,Germany,Afternoon,137,1,0
389,3754.3206844460874,POS,Canada,Morning,83,0,0
390,4035.1395226399836,ATM,Canada,Night,170,1,0
391,4952.573184293363,Online,Germany,Evening,164,1,0
392,2066.025296172575,ATM,Germany,Night,10,0,0
393,1863.230338534952,POS,UK,Afternoon,187,0,0
394,3883.182738906274,ATM,Germany,Night,40,1,0
395,1707.313683563824,Online,India,Afternoon,54,1,0
396,4654.132841389805,Online,India,Morning,237,1,0
397,4292.771695455844,ATM,UK,Evening,167,0,0
398,2147.8251667382165,POS,USA,Morning,135,1,0
399,3755.6009836185294,ATM,USA,Morning,4,0,0
400,3773.9416560529885,POS,India,Evening,143,1,0
401,520.1037248354834,Bank Transfer,Germany,Evening,204,1,0
402,4513.251768864436,POS,UK,Evening,176,0,0
403,2528.7356003770465,Bank Transfer,USA,Afternoon,6,1,0
404,4133.155043208169,ATM,USA,Morning,73,0,0
405,1603.6477571479056,POS,Canada,Afternoon,163,1,0
406,4478.138526338521,Bank Transfer,India,Evening,200,0,0
407,1949.0623852771448,Bank Transfer,Germany,Afternoon,199,0,0
408,59.13406914409031,Bank Transfer,UK,Evening,196,1,0
409,4527.382972214222,Online,USA,Night,58,0,0
410,460.9769505467371,ATM,Canada,Evening,77,1,0
411,1599.9716197641224,Bank Transfer,India,Morning,19,0,0
412,4750.559525418771,POS,India,Morning,62,0,0
413,4753.282698953093,Bank Transfer,UK,Morning,71,0,1
414,2869.322251175814,Online,USA,Afternoon,138,1,0
415,3161.0268747881473,ATM,UK,Morning,25,0,0
416,2244.985382281707,Online,UK,Evening,172,0,0
417,1469.5878046318323,Online,Canada,Night,227,0,0
418,1646.6794041227301,Online,India,Morning,127,1,0
419,3364.229688104807,POS,Germany,Afternoon,58,1,0
420,3763.110774541212,ATM,India,Night,153,0,0
421,3958.9373234106133,ATM,India,Morning,221,0,0
422,3949.142623258797,POS,Canada,Morning,120,1,0
423,460.5744847282084,ATM,Germany,Night,204,0,0
424,2474.6294219893944,Online,USA,Morning,111,0,0
425,292.5060062831382,ATM,Germany,Afternoon,168,0,0
426,2749.896767207059,POS,USA,Evening,76,0,0
427,2210.4448543600183,Online,Germany,Evening,70,0,0
428,4439.082392877707,POS,UK,Night,138,0,0
429,1757.820487697633,Bank Transfer,Germany,Evening,66,1,0
430,589.7497470558912,Online,Canada,Morning,120,0,0
431,719.2434518539151,Online,USA,Morning,237,0,0
432,3808.745605428774,ATM,India,Afternoon,153,1,0
433,3092.999226264724,Online,Canada,Evening,199,1,0
434,510.10776723333726,POS,USA,Night,232,1,0
435,425.11349654441216,ATM,USA,Morning,87,1,0
436,3506.3408116383043,Bank Transfer,India,Night,139,0,0
437,368.45121678914666,POS,UK,Morning,122,1,0
438,4110.190996155329,Bank Transfer,Canada,Morning,164,0,1
439,3532.6799246466985,Bank Transfer,India,Afternoon,49,1,0
440,411.3371593062893,Bank Transfer,India,Evening,48,1,0
441,428.76438185553366,Online,UK,Afternoon,115,1,0
442,4933.264694613372,POS,Canada,Evening,87,0,0
443,1874.482624801821,POS,India,Night,235,1,0
444,1856.35752459912,Online,UK,Evening,7,1,1
445,4064.9338384512253,ATM,Canada,Night,219,1,0
446,4736.506644032374,Bank Transfer,Germany,Morning,77,0,0
447,4930.07531379524,POS,USA,Night,179,0,0
448,3768.1240353684134,Online,UK,Night,145,1,0
449,1884.4166297269242,Bank Transfer,USA,Morning,160,0,0
450,422.08607990985047,ATM,Germany,Night,154,1,0
451,3886.848845057547,ATM,India,Night,121,0,0
452,2794.2292274303463,Bank Transfer,India,Morning,124,1,0
453,2123.9889361886467,ATM,Canada,Morning,150,0,0
454,4532.240153548206,POS,UK,Morning,141,1,0
455,560.431424119226,POS,UK,Evening,125,0,0
456,2465.6623959328413,POS,Canada,Morning,12,0,0
457,61.71145561325825,ATM,USA,Morning,71,1,0
458,2345.959906760661,POS,India,Night,1,1,0
459,286.23486203077755,Online,India,Afternoon,161,0,1
460,598.4954917590193,POS,UK,Afternoon,119,1,0
461,592.0436026516389,POS,UK,Evening,142,1,0
462,3247.8054590697375,ATM,Canada,Evening,111,1,0
463,3731.4941719307894,POS,Germany,Afternoon,64,1,0
464,2918.9269816603123,Bank Transfer,USA,Afternoon,43,0,0
465,4811.051879630337,Online,Germany,Morning,186,1,0
466,1877.4785447209017,ATM,Germany,Night,41,0,0
467,1432.1318709778943,Online,UK,Morning,209,0,0
468,4343.652645306354,Bank Transfer,UK,Evening,196,1,0
469,1121.861213404666,ATM,UK,Afternoon,115,1,0
470,4816.296584505853,ATM,Germany,Evening,39,0,0
471,65.71160107563261,POS,USA,Morning,1,1,0
472,4849.544739404657,Online,UK,Evening,41,1,0
473,220.5837601931277,Bank Transfer,India,Evening,173,0,0
474,4456.259852921865,Bank Transfer,USA,Night,88,0,0
475,2640.8670398860677,ATM,India,Evening,226,0,0
476,4964.859156615905,POS,USA,Morning,98,1,0
477,373.6138408533173,ATM,UK,Night,88,1,0
478,2771.5021505845975,ATM,Canada,Evening,79,0,0
479,4846.6661654173995,ATM,UK,Morning,209,0,0
480,2617.8737316298934,ATM,Germany,Afternoon,141,1,0
481,3148.8461974856364,Bank Transfer,Germany,Night,71,1,0
482,3480.264701478163,Bank Transfer,USA,Evening,137,1,0
483,2275.432618515027,ATM,Germany,Evening,236,0,0
484,3139.652610019897,ATM,UK,Night,191,1,0
485,2923.649988055886,POS,India,Morning,99,1,0
486,4506.28426240249,ATM,UK,Evening,151,0,0
487,232.00466980558207,Bank Transfer,USA,Morning,182,1,0
488,1408.4111320131904,Online,Germany,Night,175,0,0
489,4752.305362962411,Bank Transfer,India,Evening,167,1,0
490,4451.867600535127,POS,Canada,Afternoon,87,0,0
491,2281.005480164636,Bank Transfer,India,Afternoon,154,0,0
